Full_Verse,First_Sadr,First_Ajz,Second_Sadr,Second_Ajz,Fifth_Verse,اسم الشاعر,نوع النص(فخر/هجاء/غزل/وصف),تصنيف النص دوبيت ام لا,عدد الأبيات
متين يا حسين اشوف لوحك معلق ، لاحسين كتل لاحسين مغلق . لاحسين ركب للغي شايته غلق . قاعد للزكا ولقط المحملق,متين يا حسين اشوف لوحك معلق,لاحسين كتل لاحسين مغلق,لاحسين ركب للغي شايته غلق,قاعد للزكا ولقط المحملق,,شغبة,النصح,نعم,2
ياحسين انا امك وانت ماك ولدي .. بطنك كرشت غي البنات ناسي .. ودقنك حمست جلدك خرس مافي .. ولاك مضروب بحد السيف نكمد في .. ولاك مضروب بلسان الطير نفصد في,ياحسين انا امك وانت ماك ولدي,بطنك كرشت غي البنات ناسي,ودقنك حمست جلدك خرس مافي,ولاك مضروب بحد السيف نكمد في,ولاك مضروب بلسان الطير نفصد في,شغبة,النصح,نعم,3
نوح من دا الخراب .. وكمان نوح من دا الخراب .. عجب عيني بياكلن في الكلاب .. وود اقلس ميح من الركاب .. ودا كله خير من قولة جفلوا المرغاب,نوح من دا الخراب,وكمان نوح من دا الخراب,عجب عيني بياكلن في الكلاب,وود اقلس ميح من الركاب,ودا كله خير من قولة جفلوا المرغاب,شغبة,الرثاء,نعم,3
الليلة القلب شعن جروح جداد .. وهفن لي البجان عركسن بي هواد .. كميع البراطمه تحبكن بي سواد .. يا محافظ حواك من لحظة الحساد,الليلة القلب شعن جروح جداد,وهفن لي البجان عركسن بي هواد,كميع البراطمه تحبكن بي سواد,يا محافظ حواك من لحظة الحساد,,الطيب,وصف,نعم,2
شعرا ريش نعام والوجه سمح مصقول .. وعنقا صب قزاز صانعنو في اسطنبول .. اكتافا هدل والليد تقول مجدول .. قامت في القياس بين القصر والطول,شعرا ريش نعام والوجه سمح مصقول,وعنقا صب قزاز صانعنو في اسطنبول,اكتافا هدل والليد تقول مجدول,قامت في القياس بين القصر والطول,,عبدالله احمد ابوسن,غزل,نعم,2
الوطن العزيز علمه بيرفرف فوقه .. والغاصب طلع يبكي ويحن بي شوقه .. يا مالك الحلو من الحناضل ضوقه .. سودانا العظيم فتح الطريق لي سوقه,الوطن العزيز علمه بيرفرف فوقه,والغاصب طلع يبكي ويحن بي شوقه,يا مالك الحلو من الحناضل ضوقه,سودانا العظيم فتح الطريق لي سوقه,,حسن خلف الله,فخر,نعم,2
اتلملمت جهينة وطرطر ام هبود .. وحسبونا بنجدع بالحجر والعود .. استنوهم صباحات الكواهلة قعود .. عدوهم شموم زي النعام في الفود .. بسراع شبعوا اللين من المترود,اتلملمت جهينة وطرطر ام هبود,وحسبونا بنجدع بالحجر والعود,استنوهم صباحات الكواهلة قعود,عدوهم شموم زي النعام في الفود,بسراع شبعوا اللين من المترود,شغبة,وصف,نعم,3
اتلملمت جهبنة والسدارنه الزرق .. استنوهم صباحات الكواهلة الفرق .. عدوهم شموم زي النعام الطرق .. بسراع شبعوا اللين كراستن برق,اتلملمت جهبنة والسدارنه الزرق,استنوهم صباحات الكواهلة الفرق,عدوهم شموم زي النعام الطرق,بسراع شبعوا اللين كراستن برق,,شغبة,وصف,نعم,2
يا عتيت كبرنا وحالنا تب مازل .. وكل يوم في هوها مغيرين منزل .. وين ما طريت ال دماعو جا منهل .. حلق الريف بوج ناري وغميضك قل,يا عتيت كبرنا وحالنا تب مازل,وكل يوم في هوها مغيرين منزل,وين ما طريت ال دماعو جا منهل,حلق الريف بوج ناري وغميضك قل,,الحردلو,غزل,نعم,2
يا عتبت كبرنا وحالنا تب ما تروح .. وكل يوم في هواها مقبضك مطروح .. وين ما طريت ال دماعو جا مسروح .. حلق الريف بوج ناري وغميضك اروح,يا عتبت كبرنا وحالنا تب ما تروح,وكل يوم في هواها مقبضك مطروح,وين ما طريت ال دماعو جا مسروح,حلق الريف بوج ناري وغميضك اروح,,الحردلو,غزل,نعم,2
